variable_name,question,question_type,answer_label,value
edu_ch2_internet_access,Which of the following best describes how often they have access to a working internet connection and a working device to be able to learn (when school is in session)? (SELECT_ONE),Select one,Most of the time (5-6 days per week),3
edu_ch2_internet_access,Which of the following best describes how often they have access to a working internet connection and a working device to be able to learn (when school is in session)? (SELECT_ONE),Select one,Rarely (1-2 days per week),1
edu_ch2_internet_access,Which of the following best describes how often they have access to a working internet connection and a working device to be able to learn (when school is in session)? (SELECT_ONE),Select one,Usually (3-4 days per week),2
edu_ch3_internet_access,Which of the following best describes how often they have access to a working internet connection and a working device to be able to learn (when school is in session)? (SELECT_ONE),Select one,Never (0 days per week),0
edu_ch3_internet_access,Which of the following best describes how often they have access to a working internet connection and a working device to be able to learn (when school is in session)? (SELECT_ONE),Select one,Always (7 days per week),4
edu_ch3_internet_access,Which of the following best describes how often they have access to a working internet connection and a working device to be able to learn (when school is in session)? (SELECT_ONE),Select one,Most of the time (5-6 days per week),3
edu_ch3_internet_access,Which of the following best describes how often they have access to a working internet connection and a working device to be able to learn (when school is in session)? (SELECT_ONE),Select one,Rarely (1-2 days per week),1
edu_ch3_internet_access,Which of the following best describes how often they have access to a working internet connection and a working device to be able to learn (when school is in session)? (SELECT_ONE),Select one,Usually (3-4 days per week),2
edu_ch1_internet_access,Which of the following best describes how often they have access to a working internet connection and a working device to be able to learn (when school is in session)? (SELECT_ONE),Select one,Never (0 days per week),0
edu_ch1_internet_access,Which of the following best describes how often they have access to a working internet connection and a working device to be able to learn (when school is in session)? (SELECT_ONE),Select one,Always (7 days per week),4
edu_ch1_internet_access,Which of the following best describes how often they have access to a working internet connection and a working device to be able to learn (when school is in session)? (SELECT_ONE),Select one,Most of the time (5-6 days per week),3
edu_ch1_internet_access,Which of the following best describes how often they have access to a working internet connection and a working device to be able to learn (when school is in session)? (SELECT_ONE),Select one,Rarely (1-2 days per week),1
edu_ch1_internet_access,Which of the following best describes how often they have access to a working internet connection and a working device to be able to learn (when school is in session)? (SELECT_ONE),Select one,Usually (3-4 days per week),2
edu_ch4_level,What level of education were they attending prior to the COVID-19 pandemic? (SELECT_ONE),Select one,Preschool or kindergarten,1
edu_ch4_level,What level of education were they attending prior to the COVID-19 pandemic? (SELECT_ONE),Select one,Grades/years 1-5 (Primary or elementary school),2
edu_ch4_level,What level of education were they attending prior to the COVID-19 pandemic? (SELECT_ONE),Select one,Grades/years 6-8 (Higher elementary or Secondary school),3
edu_ch4_level,What level of education were they attending prior to the COVID-19 pandemic? (SELECT_ONE),Select one,Grades/years 9-12 (Secondary School),4
edu_ch4_level,What level of education were they attending prior to the COVID-19 pandemic? (SELECT_ONE),Select one,University (Post-Secondary),5
edu_ch2_level,What level of education were they attending prior to the COVID-19 pandemic? (SELECT_ONE),Select one,Preschool or kindergarten,1
edu_ch2_level,What level of education were they attending prior to the COVID-19 pandemic? (SELECT_ONE),Select one,Grades/years 1-5 (Primary or elementary school),2
edu_ch2_level,What level of education were they attending prior to the COVID-19 pandemic? (SELECT_ONE),Select one,Grades/years 6-8 (Higher elementary or Secondary school),3
edu_ch2_level,What level of education were they attending prior to the COVID-19 pandemic? (SELECT_ONE),Select one,Grades/years 9-12 (Secondary School),4
edu_ch2_level,What level of education were they attending prior to the COVID-19 pandemic? (SELECT_ONE),Select one,University (Post-Secondary),5
edu_ch3_level,What level of education were they attending prior to the COVID-19 pandemic? (SELECT_ONE),Select one,Preschool or kindergarten,1
edu_ch3_level,What level of education were they attending prior to the COVID-19 pandemic? (SELECT_ONE),Select one,Grades/years 1-5 (Primary or elementary school),2
edu_ch3_level,What level of education were they attending prior to the COVID-19 pandemic? (SELECT_ONE),Select one,Grades/years 6-8 (Higher elementary or Secondary school),3
edu_ch3_level,What level of education were they attending prior to the COVID-19 pandemic? (SELECT_ONE),Select one,Grades/years 9-12 (Secondary School),4
edu_ch3_level,What level of education were they attending prior to the COVID-19 pandemic? (SELECT_ONE),Select one,University (Post-Secondary),5
edu_ch1_level,What level of education were they attending prior to the COVID-19 pandemic? (SELECT_ONE),Select one,Preschool or kindergarten,1
edu_ch1_level,What level of education were they attending prior to the COVID-19 pandemic? (SELECT_ONE),Select one,Grades/years 1-5 (Primary or elementary school),2
edu_ch1_level,What level of education were they attending prior to the COVID-19 pandemic? (SELECT_ONE),Select one,Grades/years 6-8 (Higher elementary or Secondary school),3
edu_ch1_level,What level of education were they attending prior to the COVID-19 pandemic? (SELECT_ONE),Select one,Grades/years 9-12 (Secondary School),4
edu_ch1_level,What level of education were they attending prior to the COVID-19 pandemic? (SELECT_ONE),Select one,University (Post-Secondary),5
edu_ch4_remote_method,Which of the following best describes how they are learning online or remotely (when school is in session)? (SELECT_MANY),Select multiple,Online (Using smartphone),2
edu_ch4_remote_method,Which of the following best describes how they are learning online or remotely (when school is in session)? (SELECT_MANY),Select multiple,Online (Using computer/tablet),1
edu_ch4_remote_method,Which of the following best describes how they are learning online or remotely (when school is in session)? (SELECT_MANY),Select multiple,Paper materials sent home,3
edu_ch4_remote_method,Which of the following best describes how they are learning online or remotely (when school is in session)? (SELECT_MANY),Select multiple,Classes on television,4
edu_ch4_remote_method,Which of the following best describes how they are learning online or remotely (when school is in session)? (SELECT_MANY),Select multiple,Classes on radio,5
edu_ch2_remote_method,Which of the following best describes how they are learning online or remotely (when school is in session)? (SELECT_MANY),Select multiple,Online (Using smartphone),2
edu_ch2_remote_method,Which of the following best describes how they are learning online or remotely (when school is in session)? (SELECT_MANY),Select multiple,Online (Using computer/tablet),1
edu_ch2_remote_method,Which of the following best describes how they are learning online or remotely (when school is in session)? (SELECT_MANY),Select multiple,Paper materials sent home,3
edu_ch2_remote_method,Which of the following best describes how they are learning online or remotely (when school is in session)? (SELECT_MANY),Select multiple,Classes on television,4
edu_ch2_remote_method,Which of the following best describes how they are learning online or remotely (when school is in session)? (SELECT_MANY),Select multiple,Classes on radio,5
edu_ch3_remote_method,Which of the following best describes how they are learning online or remotely (when school is in session)? (SELECT_MANY),Select multiple,Online (Using smartphone),2
edu_ch3_remote_method,Which of the following best describes how they are learning online or remotely (when school is in session)? (SELECT_MANY),Select multiple,Online (Using computer/tablet),1
edu_ch3_remote_method,Which of the following best describes how they are learning online or remotely (when school is in session)? (SELECT_MANY),Select multiple,Paper materials sent home,3
edu_ch3_remote_method,Which of the following best describes how they are learning online or remotely (when school is in session)? (SELECT_MANY),Select multiple,Classes on television,4
edu_ch3_remote_method,Which of the following best describes how they are learning online or remotely (when school is in session)? (SELECT_MANY),Select multiple,Classes on radio,5
edu_ch1_remote_method,Which of the following best describes how they are learning online or remotely (when school is in session)? (SELECT_MANY),Select multiple,Online (Using smartphone),2
edu_ch1_remote_method,Which of the following best describes how they are learning online or remotely (when school is in session)? (SELECT_MANY),Select multiple,Online (Using computer/tablet),1
edu_ch1_remote_method,Which of the following best describes how they are learning online or remotely (when school is in session)? (SELECT_MANY),Select multiple,Paper materials sent home,3
edu_ch1_remote_method,Which of the following best describes how they are learning online or remotely (when school is in session)? (SELECT_MANY),Select multiple,Classes on television,4
edu_ch1_remote_method,Which of the following best describes how they are learning online or remotely (when school is in session)? (SELECT_MANY),Select multiple,Classes on radio,5
edu_ch4_school_reopen,Which of the following best describes what you anticipate will happen for them when schools re-open? (SELECT_ONE),Select one,"Person will not return to school, because they need to work",2
edu_ch4_school_reopen,Which of the following best describes what you anticipate will happen for them when schools re-open? (SELECT_ONE),Select one,"Person will not return to school, because they need to care for a family member",3
edu_ch4_school_reopen,Which of the following best describes what you anticipate will happen for them when schools re-open? (SELECT_ONE),Select one,"Person will not return to school, for some other reason",4
edu_ch4_school_reopen,Which of the following best describes what you anticipate will happen for them when schools re-open? (SELECT_ONE),Select one,Person will return to school,1
edu_ch2_school_reopen,Which of the following best describes what you anticipate will happen for them when schools re-open? (SELECT_ONE),Select one,"Person will not return to school, because they need to work",2
edu_ch2_school_reopen,Which of the following best describes what you anticipate will happen for them when schools re-open? (SELECT_ONE),Select one,"Person will not return to school, because they need to care for a family member",3
edu_ch2_school_reopen,Which of the following best describes what you anticipate will happen for them when schools re-open? (SELECT_ONE),Select one,"Person will not return to school, for some other reason",4
edu_ch2_school_reopen,Which of the following best describes what you anticipate will happen for them when schools re-open? (SELECT_ONE),Select one,Person will return to school,1
edu_ch3_school_reopen,Which of the following best describes what you anticipate will happen for them when schools re-open? (SELECT_ONE),Select one,"Person will not return to school, because they need to work",2
edu_ch3_school_reopen,Which of the following best describes what you anticipate will happen for them when schools re-open? (SELECT_ONE),Select one,"Person will not return to school, because they need to care for a family member",3
edu_ch3_school_reopen,Which of the following best describes what you anticipate will happen for them when schools re-open? (SELECT_ONE),Select one,"Person will not return to school, for some other reason",4
edu_ch3_school_reopen,Which of the following best describes what you anticipate will happen for them when schools re-open? (SELECT_ONE),Select one,Person will return to school,1
edu_ch1_school_reopen,Which of the following best describes what you anticipate will happen for them when schools re-open? (SELECT_ONE),Select one,"Person will not return to school, because they need to work",2
edu_ch1_school_reopen,Which of the following best describes what you anticipate will happen for them when schools re-open? (SELECT_ONE),Select one,"Person will not return to school, because they need to care for a family member",3
edu_ch1_school_reopen,Which of the following best describes what you anticipate will happen for them when schools re-open? (SELECT_ONE),Select one,"Person will not return to school, for some other reason",4
edu_ch1_school_reopen,Which of the following best describes what you anticipate will happen for them when schools re-open? (SELECT_ONE),Select one,Person will return to school,1
edu_ch4_situation,"Which of the following best describes their current schooling situation? (SELECT_ONE)
",Select one,Not currently in school,0
edu_ch4_situation,"Which of the following best describes their current schooling situation? (SELECT_ONE)
",Select one,In person class,1
edu_ch4_situation,"Which of the following best describes their current schooling situation? (SELECT_ONE)
",Select one,Learning online or remotely at home,2
edu_ch4_situation,"Which of the following best describes their current schooling situation? (SELECT_ONE)
",Select one,Mix of in-person and online/remote,3
edu_ch2_situation,"Which of the following best describes their current schooling situation? (SELECT_ONE)
",Select one,Not currently in school,0
edu_ch2_situation,"Which of the following best describes their current schooling situation? (SELECT_ONE)
",Select one,In person class,1
edu_ch2_situation,"Which of the following best describes their current schooling situation? (SELECT_ONE)
",Select one,Learning online or remotely at home,2
edu_ch2_situation,"Which of the following best describes their current schooling situation? (SELECT_ONE)
",Select one,Mix of in-person and online/remote,3
edu_ch3_situation,"Which of the following best describes their current schooling situation? ( SELECT_ONE) 
",Select one,Not currently in school,0
edu_ch3_situation,"Which of the following best describes their current schooling situation? ( SELECT_ONE) 
",Select one,In person class,1
edu_ch3_situation,"Which of the following best describes their current schooling situation? ( SELECT_ONE) 
",Select one,Learning online or remotely at home,2
edu_ch3_situation,"Which of the following best describes their current schooling situation? ( SELECT_ONE) 
",Select one,Mix of in-person and online/remote,3
edu_ch1_situation,Which of the following best describes their current schooling situation? (SELECT_ONE),Select one,Not currently in school,0
edu_ch1_situation,Which of the following best describes their current schooling situation? (SELECT_ONE),Select one,In person class,1
edu_ch1_situation,Which of the following best describes their current schooling situation? (SELECT_ONE),Select one,Learning online or remotely at home,2
edu_ch1_situation,Which of the following best describes their current schooling situation? (SELECT_ONE),Select one,Mix of in-person and online/remote,3
edu_ch4_support,Which of the following best describes any learning support they received after school closures due to COVID-19? (SELECT_ONE) ,Select multiple,Received remedial support organized by school,1
edu_ch4_support,Which of the following best describes any learning support they received after school closures due to COVID-19? (SELECT_ONE) ,Select multiple,Received remedial support elsewhere,2
edu_ch4_support,Which of the following best describes any learning support they received after school closures due to COVID-19? (SELECT_ONE) ,Select multiple,Received no remedial support,0
edu_ch2_support,Which of the following best describes any learning support they received after school closures due to COVID-19? (SELECT_ONE) ,Select multiple,Received remedial support organized by school,1
edu_ch2_support,Which of the following best describes any learning support they received after school closures due to COVID-19? (SELECT_ONE) ,Select multiple,Received remedial support elsewhere,2
edu_ch2_support,Which of the following best describes any learning support they received after school closures due to COVID-19? (SELECT_ONE) ,Select multiple,Received no remedial support,0
edu_ch3_support,Which of the following best describes any learning support they received after school closures due to COVID-19? (SELECT_ONE) ,Select multiple,Received remedial support organized by school,1
edu_ch3_support,Which of the following best describes any learning support they received after school closures due to COVID-19? (SELECT_ONE) ,Select multiple,Received remedial support elsewhere,2
edu_ch3_support,Which of the following best describes any learning support they received after school closures due to COVID-19? (SELECT_ONE) ,Select multiple,Received no remedial support,0
edu_ch1_support,Which of the following best describes any learning support they received after school closures due to COVID-19? (SELECT_ONE),Select multiple,Received remedial support organized by school,1
edu_ch1_support,Which of the following best describes any learning support they received after school closures due to COVID-19? (SELECT_ONE),Select multiple,Received remedial support elsewhere,2
edu_ch1_support,Which of the following best describes any learning support they received after school closures due to COVID-19? (SELECT_ONE),Select multiple,Received no remedial support,0
edu_ch4_school_type,Which of the following best describes the type of school/university they attended in February 2020? (SELECT_ONE) ,Select one,Public,1
edu_ch4_school_type,Which of the following best describes the type of school/university they attended in February 2020? (SELECT_ONE) ,Select one,Private,2
edu_ch2_school_type,Which of the following best describes the type of school/university they attended in February 2020? (SELECT_ONE),Select one,Public,1
edu_ch2_school_type,Which of the following best describes the type of school/university they attended in February 2020? (SELECT_ONE),Select one,Private,2
edu_ch3_school_type,Which of the following best describes the type of school/university they attended in February 2020? (SELECT_ONE) ,Select one,Public,1
edu_ch3_school_type,Which of the following best describes the type of school/university they attended in February 2020? (SELECT_ONE) ,Select one,Private,2
edu_ch1_school_type,Which of the following best describes the type of school/university they attended in February 2020? (SELECT_ONE),Select one,Public,1
edu_ch1_school_type,Which of the following best describes the type of school/university they attended in February 2020? (SELECT_ONE),Select one,Private,2
edu_students,"How many individuals in your household were going to school or university before the global COVID-19 pandemic started in March 2020-April 2020? This includes school for children, or university for adults (SELECT_MANY)",Number,,
edu_ch4_age,How old are they? (NUMBER),Number,,
edu_ch2_age,How old are they? (NUMBER),Number,,
edu_ch3_age,How old are they? (NUMBER),Number,,
edu_ch1_age,How old are they? (NUMBER),Number,,
